zeolite,framework_symmetry/space_group,framework_density_kg_m3,PLD_nm,LCD_nm,r,alpha
8303373,tetragonal/84,2025,3.75,4.74,0.297,742
8118882,monoclinic/13,1868,3.12,4.56,0.483,710
8260830,orthorhombic/63,1997,3.2,4.26,0.184,696
8203882,orthorhombic/49,1880,3.24,4.58,0.469,681
8294089,orthorhombic/72,1988,3.44,4.72,0.384,621
8294273,orthorhombic/72,2010,3.13,4.43,0.448,557
8237511,orthorhombic/58,1993,3.39,4.79,0.198,521
8125896,monoclinic/14,1852,3.13,4.91,0.42,446
8279897,orthorhombic/67,1829,3.57,4.89,0.257,422
8181536,orthorhombic/39,1927,3.04,4.45,0.357,412
8066529,monoclinic/10,2038,3.49,4.42,0.193,392
8219987,orthorhombic/53,1825,3.48,4.78,0.25,391
8233100,orthorhombic/57,1920,3.12,4.41,0.517,384
8008040,triclinic/2,2042,3.22,4.71,0.305,379
8124839,monoclinic/14,1829,3.27,4.62,0.408,373
8244515,orthorhombic/59,1877,3.75,4.86,0.215,356
8204157,orthorhombic/49,1903,3.26,4.61,0.409,345
8204160,orthorhombic/49,1946,3.11,4.4,0.5,334
8237442,orthorhombic/58,1948,3.11,4.27,0.209,331
8228896,orthorhombic/56,2048,3.19,4.82,0.243,327
8294272,orthorhombic/72,2006,3.11,4.4,0.421,318
8221179,orthorhombic/53,1903,3.27,4.62,0.243,318
8189368,orthorhombic/44,1853,3.57,4.64,0.272,313
8172922,orthorhombic/35,1939,3.14,4.43,0.318,310
8101216,monoclinic/12,1946,3.13,4.3,0.263,307
8234100,orthorhombic/57,2013,3.03,4.16,0.429,307
